datetime,stock_code,stock_name,title,content,source
2026-03-01 10:09:02,600958,东方证券,地缘冲突“黑天鹅”再袭！明天A股股民如何应对？,【地缘冲突“黑天鹅”再袭！明天A股股民如何应对？】如何判断该事件对大A的影响，自己的持仓和资金又该如何调整，成了绕不开的思考题。有媒体报道称，2月28日下午起，各大券商密集召开电话会议，火速对伊朗局势进行了解读。其中，东方证券一场会议更是吸引超2000人参与，瞬间满员。,eastmoney
2026-03-01 09:22:18,600519,贵州茅台,酒价内参3月1日价格发布 飞天领涨创9日新高总价回升至近4日高位,云财经讯，新浪财经“酒价内参”过去24小时收集的数据显示，中国白酒市场十大单品的终端零售均价在3月1日出现大面积回升。如果十大单品各取一瓶整体打包售卖，今日总售价为9200元，较昨日大幅上涨34元，反弹至四天来高点。在贵州茅台飞天领衔的多数单品上涨带动下，市场短期呈现修复态势。今日白酒市场十大单品八涨两跌。上涨方面，洋河梦之蓝M6+上涨8元/瓶，涨幅居前；青花郎上涨7元/瓶；飞天茅台在市场需求支撑下上涨6元/瓶，至1774元/瓶创下9天来新高，对整体价格形成强力带动；国窖1573与青花汾20同步回升，均上涨5元/瓶；习酒君品小幅上涨3元/瓶；水晶剑南春上涨2元/瓶；古井贡古20微涨1元/瓶。下...,yuncaijing
2026-03-01 09:03:55,600519,贵州茅台,,【酒价内参3月1日价格发布 飞天领涨创9日新高总价回升至近4日高位】新浪财经“酒价内参”过去24小时收集的数据显示，中国白酒市场十大单品的终端零售均价在3月1日出现大面积回升。如果十大单品各取一瓶整体打包售卖，今日总售价为9200元，较昨日大幅上涨34元，反弹至四天来高点。在贵州茅台飞天领衔的多数单品上涨带动下，市场短期呈现修复态势。今日白酒市场十大单品八涨两跌。上涨方面，洋河梦之蓝M6+上涨8元/瓶，涨幅居前；青花郎上涨7元/瓶；飞天茅台在市场需求支撑下上涨6元/瓶，至1774元/瓶创下9天来新高，对整体价格形成强力带动；国窖1573与青花汾20同步回升，均上涨5元/瓶；习酒君品小幅上涨3元/瓶；水晶剑南春上涨2元/瓶；古井贡古20微涨1元/瓶。下跌方面，五粮液普五八代小幅回落2元/瓶，价格仍处整理区间；精品茅台微跌1元/瓶，整体运行保持稳定，此前该酒品刚经历一轮五连阳。,sina
2026-02-28 23:32:30,600515,海南机场,首次高效联动！海口、博鳌机场开通3条全货机航线,"2月28日，海南机场所属的海口美兰国际机场、琼海博鳌国际机场新开3条全货机航线：琼海-曼谷、曼谷-海口国际货运航线及海口-深圳国内货运航线。这不仅是博鳌机场正式开通首条国际全货机航线，更意味着海南岛内两大运输机场——美兰机场与博鳌机场在国际航空货运网络上首次实现高效联动，共同织密自贸港连接全球的航空物流网络，为全岛口岸资源的整体协同探路先行。

在前期开通的深圳-琼海货运航线的基础上，美兰机场与博鳌机场此次新增的3条货运航线能够有效联通深圳、琼海、曼谷、海口四地，将博鳌机场正式纳入全球航空货运网络。（央视）",wallstreetcn
2026-02-28 22:09,600115,东方航空,中东局势持续升级！国内多家航司发布退改票规定,受中东安全形势影响，海南航空、中国国航、东方航空等先后发布相关航线退改票规定。(大河财立方),10jqka
2026-02-28 21:57:54,000858,五粮液,周六重大事件汇总,周六重大事件汇总|【时事新闻】①美以联合袭击，伊朗称发动“毁灭性”反击，中东局势陡然升级：-以色列：目标推翻伊朗政权，伊朗政府所有高官都是目标；-特朗普称美国人可能承受伤亡，要摧毁伊朗海军和导弹工业；-伊朗向以色列发射导弹无人机，称报复行动将是“毁灭性”，报复性打击目标是中东地区所有美军基地；-美国军方预计将对伊朗进行为期多天的打击行动；伊朗高级官员称伊朗对美以侵略的回应将持续数日；②外交部发言人就美国和以色列军事打击伊朗答记者问：中方高度关切，伊朗国家主权、安全和领土完整应该得到尊重；③全球多家公司宣布暂停石油与燃料船只通过霍尔木兹海峡；④国家发改委价格监测中心：存储芯片价格持续上涨并向下游传导；⑤商务部：自2026年3月1日起，对原产于加拿大的进口油菜籽征收反倾销税；⑥我国首个国家级人形机器人与具身智能标准体系发布；⑦国内金饰价格今日突破1600元/克；【公司新闻】①伯克希尔哈撒韦：2025年全年净利润669.68亿美元，上年同期889.95亿美元；②五粮液集团党委书记、董事长曾从钦接受审查调查；③主动投案，华润集团副总经理韩嵩被查；④英伟达计划推出全新芯片，以加速人工智能处理。,yicai
2026-02-28 21:54:05,000858,五粮液,五粮液：董事长曾从钦被留置,【五粮液：董事长曾从钦被留置】五粮液(000858.SZ)公告称，公司于近日收到中国共产党宜宾市纪律检查委员会、宜宾市监察委员会关于公司董事长曾从钦的《立案通知书》及宜宾市监察委员会的《留置通知书》。截至公告日，公司其他董事和高级管理人员均正常履职，生产经营情况正常。公司已对相关事项做了妥善安排，日常经营管理由高管团队负责，上述事项不会对公司生产经营产生重大影响。,eastmoney
2026-02-28 21:51:13,000858,五粮液,五粮液：董事长曾从钦被留置 生产经营正常,五粮液：董事长曾从钦被留置生产经营正常|五粮液公告，公司近日收到中国共产党宜宾市纪律检查委员会、宜宾市监察委员会出具的《立案通知书》和《留置通知书》，公司董事长曾从钦被留置。截至本公告日，公司其他董事和高级管理人员均正常履职，生产经营正常，公司已由高管团队负责日常经营，并将持续关注后续进展，及时履行信息披露义务。,yicai
2026-02-28 21:50:25,000858,五粮液,五粮液：董事长曾从钦被留置,【五粮液：董事长曾从钦被留置】财联社2月28日电，五粮液(000858.SZ)公告称，公司于近日收到中国共产党宜宾市纪律检查委员会、宜宾市监察委员会关于公司董事长曾从钦的《立案通知书》及宜宾市监察委员会的《留置通知书》。截至公告日，公司其他董事和高级管理人员均正常履职，生产经营情况正常。公司已对相关事项做了妥善安排，日常经营管理由高管团队负责，上述事项不会对公司生产经营产生重大影响。,cls
2026-02-28 21:50:25,000858,五粮液,,【五粮液：董事长曾从钦被留置】五粮液(000858.SZ)公告称，公司于近日收到中国共产党宜宾市纪律检查委员会、宜宾市监察委员会关于公司董事长曾从钦的《立案通知书》及宜宾市监察委员会的《留置通知书》。截至公告日，公司其他董事和高级管理人员均正常履职，生产经营情况正常。公司已对相关事项做了妥善安排，日常经营管理由高管团队负责，上述事项不会对公司生产经营产生重大影响。,fenghuang
